Record ID#,Week,Percent Complete RMI,Percent Complete UPSELL,RMI Conversion % - Total By Week,UPSELL Conversion % - Total By Week,Campaigns
106,52,100%,100%,1.5%,40%,52
54,0,0.1%,8.5903%,0.0015%,3.43612%,0
55,1,3.78%,29.5154%,0.0567%,11.80616%,1
56,2,10.51%,40.5286%,0.15765%,16.21144%,2
57,3,18.27%,51.3216%,0.27405%,20.52864%,3
58,4,26.02%,59.6916%,0.3903%,23.87664%,4
59,5,29.9%,63.6564%,0.4485%,25.46256%,5
60,6,33.27%,71.3656%,0.49905%,28.54624%,6
61,7,42.24%,75.9912%,0.6336%,30.39648%,7
62,8,46.43%,81.4978%,0.69645%,32.59912%,8
63,9,48.52%,84.141%,0.7278%,33.6564%,9
64,10,50.3%,87.6652%,0.7545%,35.06608%,10
65,11,54.69%,89.8678%,0.82035%,35.94712%,11
66,12,56.69%,91.63%,0.85035%,36.652%,12
67,13,59.51%,94.7137%,0.89265%,37.88548%,13
68,14,64.29%,95.815%,0.96435%,38.326%,14
69,15,67.46%,96.696%,1.0119%,38.6784%,15
70,16,69.8%,97.1366%,1.047%,38.85464%,16
71,17,71.02%,97.5771%,1.0653%,39.03084%,17
72,18,72.95%,98.0176%,1.09425%,39.20704%,18
73,19,74.36%,98.6784%,1.1154%,39.47136%,19
74,20,75.46%,99.3392%,1.1319%,39.73568%,20
75,21,77.29%,99.5595%,1.15935%,39.8238%,21
76,22,79.53%,99.5595%,1.19295%,39.8238%,22
77,23,81.86%,99.5595%,1.2279%,39.8238%,23
78,24,82.14%,99.7797%,1.2321%,39.91188%,24
79,25,83.26%,99.7797%,1.2489%,39.91188%,25
80,26,84.68%,100%,1.2702%,40%,26
81,27,86.96%,100%,1.3044%,40%,27
82,28,88.32%,100%,1.3248%,40%,28
83,29,89.65%,100%,1.34475%,40%,29
84,30,90.41%,100%,1.35615%,40%,30
85,31,91.32%,100%,1.3698%,40%,31
86,32,92.86%,100%,1.3929%,40%,32
87,33,93.12%,100%,1.3968%,40%,33
88,34,93.63%,100%,1.40445%,40%,34
89,35,94.16%,100%,1.4124%,40%,35
90,36,94.96%,100%,1.4244%,40%,36
91,37,95.06%,100%,1.4259%,40%,37
92,38,95.18%,100%,1.4277%,40%,38
93,39,95.86%,100%,1.4379%,40%,39
94,40,96.15%,100%,1.44225%,40%,40
95,41,96.34%,100%,1.4451%,40%,41
96,42,96.59%,100%,1.44885%,40%,42
97,43,96.69%,100%,1.45035%,40%,43
98,44,96.98%,100%,1.4547%,40%,44
99,45,97.35%,100%,1.46025%,40%,45
100,46,97.46%,100%,1.4619%,40%,46
101,47,97.79%,100%,1.46685%,40%,47
102,48,98.62%,100%,1.4793%,40%,48
103,49,98.96%,100%,1.4844%,40%,49
104,50,99.15%,100%,1.48725%,40%,50
105,51,99.86%,100%,1.4979%,40%,51
